event_id,recoil_energy_keV,s1_light_yield,s2_charge_yield,interaction_type,particle_source,label,position_x_mm,position_y_mm,position_z_mm,drift_time_us,s1_width_ns,s2_width_us,s1_area_PE,s2_area_PE,s2_over_s1_ratio,log10_s2_over_s1,timestamp,detector_temp_K,gas_pressure_bar,electric_field_V_cm,event_quality,pile_up_flag,wimp_mass_GeV
72,5.136484,,158.464654,nuclear_recoil,WIMP,WIMP-like,10.186291,173.987309,-302.52951,148.474053,,2.653703,,138.753587,,,2024-11-10 09:36:04.205317,174.416923,2.083756,183.727093,0.88551,0,943.645079
110,25.46533,,1195.385495,nuclear_recoil,WIMP,WIMP-like,-49.154084,-243.760036,140.615184,481.665552,,2.021782,,1191.793541,,,2024-07-01 02:19:33.676805,175.355613,2.061849,195.85045,0.949613,0,482.131105
120,4.793128,,236.748315,nuclear_recoil,WIMP,WIMP-like,-153.932969,-207.738172,-484.889316,11.361417,,3.006838,,198.917015,,,2024-04-08 22:48:11.458704,176.017661,2.02715,211.029526,0.639723,0,627.412291
123,6.896474,,207.262772,nuclear_recoil,WIMP,WIMP-like,323.073431,-249.478096,287.387027,592.020321,,2.124699,,188.355054,,,2024-06-05 01:47:15.659668,176.992515,1.923334,189.008857,0.917621,0,374.764431
146,4.859787,,350.824752,nuclear_recoil,WIMP,WIMP-like,278.691762,-17.342456,-160.028136,255.617943,,2.100326,,285.460806,,,2024-10-31 14:50:55.977501,175.64048,1.98095,206.481141,0.754553,0,626.462646
165,30.368744,39.157836,26390.011292,black_hole_evaporation,primordial_black_hole,Primordial-BH,-193.226417,-364.981471,-184.760565,237.022131,33.673973,2.669276,26.692453,23022.534308,862.511009,2.935765,2024-09-10 02:22:40.230384,173.974247,2.103572,216.394567,0.686992,0,
180,46.454356,3.731823,3017.335571,nuclear_recoil,WIMP,WIMP-like,34.073342,182.675479,359.111758,645.94869,47.725237,3.524906,3.315967,3046.986694,918.883255,2.96326,2024-10-04 09:38:54.865925,174.209101,1.919325,166.146368,0.829179,0,263.629599
191,24.374736,,1133.653582,nuclear_recoil,WIMP,WIMP-like,275.944543,338.723442,-391.317461,81.716195,,2.477553,,900.351758,,,2024-08-17 02:22:45.710080,176.171718,1.961959,193.380437,0.735443,0,948.301901
205,5.330311,,318.872151,nuclear_recoil,WIMP,WIMP-like,-201.874898,173.025692,-195.509576,228.940169,,2.253428,,271.951262,,,2024-03-06 22:33:36.222793,176.14603,1.922263,231.175784,0.838778,0,73.156611
213,5.222603,,230.101212,nuclear_recoil,WIMP,WIMP-like,-409.098555,-67.680674,-226.525485,205.619936,,2.433932,,183.307045,,,2024-06-28 05:19:59.235527,173.920264,1.899341,188.272786,0.612223,0,327.787075
